date,depth_group,mean_ph,std_ph,measurement_count
2014-02-18,Surface,9.289857177277284,0.097505526603079,10
2014-02-18,Mid-Depth,9.093,0.1235128823190743,10
2014-02-18,Lower Photic,8.80875,0.02826585101024449,10
2014-02-18,Deep,8.44708664440017,0.20607270433030084,4
2014-03-26,Surface,8.553,0.015748799679912964,10
2014-03-26,Mid-Depth,8.398,0.06314005596027532,10
2014-03-26,Lower Photic,7.9704999999999995,0.1689855352126655,10
2014-03-26,Deep,7.819578772823602,0.10016096474564,4
2014-04-22,Surface,8.728,0.011352924243950692,10
2014-04-22,Mid-Depth,8.645499999999998,0.04387165625118602,10
2014-04-22,Lower Photic,8.331,0.21558447686850427,10
2014-04-22,Deep,8.021406120678215,0.04929379449726256,4
2014-05-19,Surface,8.92,0.0802772971919485,10
2014-05-19,Mid-Depth,8.997,0.006749485577105385,10
2014-05-19,Lower Photic,8.860000000000001,0.10934146311237798,10
2014-05-19,Deep,8.338249999999999,0.13961464822861502,4
2014-06-24,Surface,8.751,0.12511772234357713,10
2014-06-24,Mid-Depth,9.084,0.047888759989514786,10
2014-06-24,Lower Photic,8.817,0.24120300348231366,10
2014-06-24,Deep,7.8995,0.16355551781400546,4
2014-07-22,Surface,9.097999999999999,0.11419281938896145,10
2014-07-22,Mid-Depth,9.376,0.06221825384170723,10
2014-07-22,Lower Photic,9.204,0.22386503870760066,10
2014-07-22,Deep,8.346,0.25193311869680046,4
2014-08-12,Surface,9.010000000000002,1.8724445165742407e-15,10
2014-08-12,Mid-Depth,9.010000000000002,1.8724445165742407e-15,10
2014-08-12,Lower Photic,9.010000000000002,1.8724445165742407e-15,10
2014-08-12,Deep,8.828288423411303,0.36342315317739526,4
2014-09-08,Surface,8.22907692307692,0.6236931425746755,10
2014-09-08,Mid-Depth,7.260923076923078,0.8278825917959723,10
2014-09-08,Lower Photic,9.312000000000001,0.7759553251745018,10
2014-09-08,Deep,7.346750000000001,0.2742521649868966,4
2014-10-07,Surface,7.539507551605041,1.2039109642885455,10
2014-10-07,Mid-Depth,10.271,0.5969822256799423,10
2014-10-07,Lower Photic,9.718,0.1436662799685432,10
2014-10-07,Deep,8.546895272097363,0.3746710588525128,4
2014-11-11,Surface,9.517,0.274666801510215,10
2014-11-11,Mid-Depth,9.562000000000001,0.041853654500673125,10
2014-11-11,Lower Photic,9.599,0.10816140202904619,10
2014-11-11,Deep,8.52901795261934,0.42913093866907787,4
2014-12-08,Surface,8.495,0.04972144630058749,10
2014-12-08,Mid-Depth,8.514,0.011737877907772424,10
2014-12-08,Lower Photic,8.479000000000001,0.019119507199599876,10
2014-12-08,Deep,8.434333333333335,0.010572501018102492,4
2015-01-13,Surface,8.510000000000002,0.03590109871422998,10
2015-01-13,Mid-Depth,8.509,0.021832697191749954,10
