location,date,depth_group,mean_ph,std_ph,measurement_count
SA,2014-02-18,Surface,9.285470688503809,0.1102234483611581,10
SA,2014-02-18,Mid-Depth,9.093333333333334,0.1238278374733782,10
SA,2014-02-18,Lower Photic,8.80875,0.0282658510102444,10
SA,2014-02-18,Deep,8.484700718079319,0.1373580122298501,22
SA,2014-03-26,Surface,8.553,0.0157487996799129,10
SA,2014-03-26,Mid-Depth,8.398,0.0631400559602753,10
SA,2014-03-26,Lower Photic,7.970499999999999,0.1689855352126655,10
SA,2014-03-26,Deep,7.779073999520548,0.0340611430905969,22
SA,2014-04-22,Surface,8.728,0.0113529242439506,10
SA,2014-04-22,Mid-Depth,8.647,0.043728963196287,10
SA,2014-04-22,Lower Photic,8.331,0.2155844768685042,10
SA,2014-04-22,Deep,8.000584567736249,0.0419186653371046,22
SA,2014-05-19,Surface,8.92,0.0802772971919485,10
SA,2014-05-19,Mid-Depth,8.997,0.0067494855771053,10
SA,2014-05-19,Lower Photic,8.860000000000001,0.1093414631123779,10
SA,2014-05-19,Deep,8.328409090909092,0.1523575553601614,22
SA,2014-06-24,Surface,8.754,0.1259805981534899,10
SA,2014-06-24,Mid-Depth,9.084,0.0478887599895147,10
SA,2014-06-24,Lower Photic,8.817,0.2412030034823136,10
SA,2014-06-24,Deep,7.906742424242423,0.1686661626135319,22
SA,2014-07-22,Surface,9.098,0.1141928193889614,10
SA,2014-07-22,Mid-Depth,9.376,0.0622182538417072,10
SA,2014-07-22,Lower Photic,9.204,0.2238650387076006,10
SA,2014-07-22,Deep,8.390530303030303,0.2388128633346279,22
SA,2014-08-12,Surface,9.010000000000002,1.872444516574241e-15,10
SA,2014-08-12,Mid-Depth,9.010000000000002,1.872444516574241e-15,10
SA,2014-08-12,Lower Photic,9.010000000000002,1.872444516574241e-15,10
SA,2014-08-12,Deep,8.986852167271845,0.1085729594338861,22
SA,2014-09-08,Surface,8.22907692307692,0.6236931425746755,10
SA,2014-09-08,Mid-Depth,7.260923076923078,0.8278825917959723,10
SA,2014-09-08,Lower Photic,9.321000000000002,0.7765801096259592,10
SA,2014-09-08,Deep,7.415909090909091,0.2847331096359251,22
SA,2014-10-07,Surface,7.710000000000001,1.4505171491574993,10
SA,2014-10-07,Mid-Depth,10.271,0.5969822256799423,10
SA,2014-10-07,Lower Photic,9.731000000000002,0.1081614020290455,10
SA,2014-10-07,Deep,8.680652558504152,0.2738557599069935,22
SA,2014-11-11,Surface,9.517,0.274666801510215,10
SA,2014-11-11,Mid-Depth,9.562,0.0418536545006731,10
SA,2014-11-11,Lower Photic,9.599,0.1081614020290461,10
SA,2014-11-11,Deep,8.542768855818862,0.4127530446060812,22
SA,2014-12-08,Surface,8.495,0.0497214463005874,10
SA,2014-12-08,Mid-Depth,8.515,0.0135400640077263,10
