date,depth_group,mean_dissolved_oxygen,std_dissolved_oxygen,measurement_count
2014-02-14,Surface,7.582499999999999,0.1550421089754507,10
2014-02-14,Mid-Depth,6.96575,0.11262678041508004,10
2014-02-14,Lower Photic,6.421250000000001,0.20436639890158095,10
2014-02-14,Deep,2.588584017601938,1.7836549706165252,23
2014-02-19,Surface,7.604000000000001,0.06003702561290364,10
2014-02-19,Mid-Depth,7.339000000000001,0.1908722667707968,10
2014-02-19,Lower Photic,6.273000000000001,0.2589315653904628,10
2014-02-19,Deep,2.0316638251145944,2.2357646166298193,23
2014-03-26,Surface,7.319,0.05526702854726714,10
2014-03-26,Mid-Depth,7.147,0.10044899203078154,10
2014-03-26,Lower Photic,5.729,0.5325087375391652,10
2014-03-26,Deep,1.5131811702297835,1.6783077272420737,23
2014-04-23,Surface,7.145696935110399,0.03423250495416406,10
2014-04-23,Mid-Depth,7.085500000000001,0.03337081226328053,10
2014-04-23,Lower Photic,7.0215000000000005,0.029632002219822425,10
2014-04-23,Deep,2.106903817258924,1.3674641568852788,23
2014-04-27,Surface,7.130401900517784,0.0557880275156573,10
2014-04-27,Mid-Depth,7.177,0.020027758514399845,10
2014-04-27,Lower Photic,6.730000000000001,0.3591038228083288,10
2014-04-27,Deep,2.1510389625020636,1.2016738472211916,23
2014-06-25,Surface,7.2005,0.07833156026362117,10
2014-06-25,Mid-Depth,7.258,0.03836793929092465,10
2014-06-25,Lower Photic,6.911,0.4792459354722445,10
2014-06-25,Deep,1.9978462117014328,1.0108872635314483,23
2014-07-23,Surface,6.884,0.01264911064067345,10
2014-07-23,Mid-Depth,6.9,0.009428090415820746,10
2014-07-23,Lower Photic,6.883,0.010593499054713894,10
2014-07-23,Deep,2.07323086148405,0.9273690341039141,23
2014-08-13,Surface,7.465999999999999,0.03864367132317175,10
2014-08-13,Mid-Depth,7.458,0.06713171133426193,10
2014-08-13,Lower Photic,7.116999999999999,0.17895064496484306,10
2014-08-13,Deep,1.9013872463355401,1.2167749470138993,23
2014-09-09,Surface,8.127,0.01766981104093189,10
2014-09-09,Mid-Depth,8.1125,0.018745369798670523,10
2014-09-09,Lower Photic,7.925999999999999,0.35519008995184514,10
2014-09-09,Deep,1.8545393067348173,1.1825508035538979,23
2014-09-25,Surface,8.037,0.041379007023153995,10
2014-09-25,Mid-Depth,8.021,0.03784471194529327,10
2014-09-25,Lower Photic,7.515000000000001,0.4268554269955526,10
2014-09-25,Deep,1.6697768591002227,0.9749476409549042,23
2014-10-08,Surface,8.287,0.20838266082698273,10
2014-10-08,Mid-Depth,8.507333333333332,0.04141926551202413,10
2014-10-08,Lower Photic,7.701666666666666,0.7638923232246032,10
2014-10-08,Deep,1.891641459178735,1.044894409815761,23
2014-11-12,Surface,7.823,0.014181364924121894,10
2014-11-12,Mid-Depth,7.8420000000000005,0.019888578520235185,10
2014-11-12,Lower Photic,7.546000000000001,0.1054303350822502,10
2014-11-12,Deep,1.8404493057132592,1.4156870064917746,23
2014-12-09,Surface,6.5040000000000004,0.04273952113286552,10
2014-12-09,Mid-Depth,6.49,0.009428090415820434,10
2014-12-09,Lower Photic,6.506,0.015055453054181456,10
2014-12-09,Deep,1.8574907074382379,1.9229625233526593,23
2015-01-14,Surface,7.185848485713796,0.025318132138437897,10
2015-01-14,Mid-Depth,7.081944842539126,0.07218475192553617,10
2015-01-14,Lower Photic,6.250550881875291,0.4679079271212866,10
2015-01-14,Deep,1.8622719574395696,1.3694117522368077,23
2015-02-11,Surface,5.813,0.034657049948186865,10
2015-02-11,Mid-Depth,5.805999999999999,0.006992058987801059,10
2015-02-11,Lower Photic,5.851999999999999,0.011352924243951111,10
2015-02-11,Deep,5.177753450955863,1.360007832035406,23
2015-03-11,Surface,7.055,0.027182510717166788,10
2015-03-11,Mid-Depth,7.114,0.038643671323171744,10
2015-03-11,Lower Photic,6.6674999999999995,0.32601337736697594,10
2015-03-11,Deep,3.634318145989531,1.0451416985985025,23
2015-04-14,Surface,7.193,0.02983286778035253,10
2015-04-14,Mid-Depth,7.2010000000000005,0.007378647873726061,10
2015-04-14,Lower Photic,6.811,0.43418378085271164,10
2015-04-14,Deep,3.060347574461029,0.9342762983485401,23
2015-05-05,Surface,7.248,0.016193277068654713,10
2015-05-05,Mid-Depth,7.288000000000001,0.016865480854231264,10
2015-05-05,Lower Photic,7.0745000000000005,0.509719149248987,10
2015-05-05,Deep,3.0880512788637846,0.8880777552431984,23
2015-06-09,Surface,7.4315,0.009442810316143772,10
2015-06-09,Mid-Depth,7.445,0.019002923751652284,10
2015-06-09,Lower Photic,7.061,0.5723528437753916,10
2015-06-09,Deep,2.951531240079834,0.8164675103247075,23
2015-07-15,Surface,7.2345,0.01770906861218605,10
2015-07-15,Mid-Depth,7.295999999999999,0.013498971154211035,10
2015-07-15,Lower Photic,7.296000000000001,0.02412928142780506,10
