date,depth_group,mean_chlorophyll_a,std_chlorophyll_a,measurement_count
2014-02-18,Surface,3.2545099341567,1.2861860415183588,10
2014-02-18,Mid-Depth,4.886480937491638,0.9740103684133952,10
2014-02-18,Lower Photic,3.5075634585114868,0.3033414559828407,10
2014-02-18,Deep,3.2468687938456027,0.40231921769682827,4
2014-03-26,Surface,0.5750857142857143,0.3017829647662858,10
2014-03-26,Mid-Depth,3.1291428571428574,1.024210862643266,10
2014-03-26,Lower Photic,2.656034245442237,1.3692834835672887,10
2014-03-26,Deep,0.7552604815272428,0.27470597889495935,4
2014-04-22,Surface,1.34,0.21176506899024786,10
2014-04-22,Mid-Depth,1.855,0.27318085177731216,10
2014-04-22,Lower Photic,2.182,0.46525500773470696,10
2014-04-22,Deep,0.5734457214095454,0.3161456098470955,4
2014-05-19,Surface,1.0037500000000001,0.41870377025078503,10
2014-05-19,Mid-Depth,1.4020000000000001,0.19135772202285897,10
2014-05-19,Lower Photic,1.073,0.2543859709618874,10
2014-05-19,Deep,0.41700000000000004,0.13438749941865877,4
2014-06-24,Surface,1.371,0.5854238730280061,10
2014-06-24,Mid-Depth,1.363,0.3364207022299444,10
2014-06-24,Lower Photic,1.342,0.3026475764904711,10
2014-06-24,Deep,0.3936666666666666,0.2399198940387302,4
2014-07-22,Surface,0.6165,0.12530074931052,10
2014-07-22,Mid-Depth,1.215,0.20940391591371924,10
2014-07-22,Lower Photic,1.209,0.31490562960283125,10
2014-07-22,Deep,0.45795833333333336,0.2022160732428997,4
2014-08-12,Surface,1.048,0.22846346656644156,10
2014-08-12,Mid-Depth,1.3960000000000001,0.031692971530679216,10
2014-08-12,Lower Photic,1.438,0.010327955589886454,10
2014-08-12,Deep,0.521599923891345,0.305331369677536,4
2014-09-08,Surface,1.311,0.586883482662634,10
2014-09-08,Mid-Depth,1.6480000000000001,0.33631334595383905,10
2014-09-08,Lower Photic,1.012,0.28924422590990856,10
2014-09-08,Deep,0.45,0.21980142553374543,4
2014-10-07,Surface,2.416,0.8456465128476307,10
2014-10-07,Mid-Depth,3.4549999999999996,0.1967090349842743,10
2014-10-07,Lower Photic,1.8470000000000002,0.8633050188407083,10
2014-10-07,Deep,0.4682418252550049,0.1785593040449715,4
2014-11-11,Surface,3.13,1.2179196997592776,10
2014-11-11,Mid-Depth,3.528,0.4263488399577665,10
2014-11-11,Lower Photic,2.2894999999999994,0.3984950857078834,10
2014-11-11,Deep,1.5309023233040548,0.7779752262472399,4
2014-12-08,Surface,2.8155,0.9843453831523432,10
2014-12-08,Mid-Depth,3.351,0.1239578781504247,10
2014-12-08,Lower Photic,3.562,0.15244671200127594,10
2014-12-08,Deep,4.1072083333333325,0.2371810284946456,4
2015-01-13,Surface,3.1979999999999995,1.0224132671717874,10
2015-01-13,Mid-Depth,4.276000000000001,0.12375603240066956,10
2015-01-13,Lower Photic,4.4190000000000005,0.2365704029576727,10
2015-01-13,Deep,4.465416666666666,0.1062263045473096,4
2015-02-10,Surface,3.136,1.1632827114105437,10
2015-02-10,Mid-Depth,2.0175,0.7502416277440221,10
2015-02-10,Lower Photic,1.593,0.06992853494818832,10
2015-02-10,Deep,1.8113333333333332,0.13792322072375923,4
2015-03-10,Surface,2.9844999999999997,1.5238847470272225,10
2015-03-10,Mid-Depth,4.984,0.07574812062208397,10
2015-03-10,Lower Photic,4.583,0.10944811048569494,10
2015-03-10,Deep,4.98575,0.13249496845792547,4
2015-04-14,Surface,0.776,0.21792965225809297,10
2015-04-14,Mid-Depth,1.168,0.030110906108363263,10
2015-04-14,Lower Photic,1.073,0.05012207320355201,10
2015-04-14,Deep,0.5055000000000001,0.22722569951156169,4
2015-06-09,Surface,0.711,0.12404748194855784,10
2015-06-09,Mid-Depth,0.929,0.01728840330651989,10
2015-06-09,Lower Photic,0.937,0.0429599296502631,10
2015-06-09,Deep,0.6236666666666667,0.26714706727859766,4
2015-07-14,Surface,1.2520000000000002,0.4534999693740036,10
2015-07-14,Mid-Depth,2.0085,0.22263635023159278,10
2015-07-14,Lower Photic,1.437,0.07273238618387279,10
2015-07-14,Deep,0.6064583333333333,0.2639430836163147,4
2015-08-10,Surface,1.357,0.47956114197137456,10
2015-08-10,Mid-Depth,1.645,0.11257096527178855,10
2015-08-10,Lower Photic,1.19,0.09153020145163988,10
2015-08-10,Deep,0.6496666666666666,0.2845095845550791,4
2015-09-09,Surface,1.573,0.5871409068055508,10
2015-09-09,Mid-Depth,2.521,0.23848829461142673,10
2015-09-09,Lower Photic,2.2600000000000002,0.6739930761266518,10
2015-09-09,Deep,0.5803333333333334,0.22123073257808704,4
2015-10-06,Surface,1.839,0.7460927854124072,10
2015-10-06,Mid-Depth,2.045,0.4770336582581057,10
2015-10-06,Lower Photic,1.3195000000000001,0.4302354006819988,10
2015-10-06,Deep,0.43866666666666665,0.1711293641058111,4
2016-01-19,Surface,1.8525000000000003,0.3666912870522015,10
2016-01-19,Mid-Depth,2.1239999999999997,0.13801771222886178,10
2016-01-19,Lower Photic,2.346,0.11673331429659091,10
2016-01-19,Deep,1.3169166666666667,0.6662722374858826,4
2016-02-16,Surface,3.0808437982311494,0.7322544195938735,10
2016-02-16,Mid-Depth,2.7880000000000003,0.33989540874935176,10
2016-02-16,Lower Photic,2.5140000000000002,0.09396348121727473,10
2016-02-16,Deep,2.332,0.06692339456976733,4
2016-03-01,Surface,3.553,0.9625088744179627,10
2016-03-01,Mid-Depth,3.1655,0.715485697935757,10
2016-03-01,Lower Photic,1.9809999999999999,0.04954235000930457,10
2016-03-01,Deep,1.4179999999999997,0.2820221950813775,4
2016-04-12,Surface,1.759,0.583884501516448,10
2016-04-12,Mid-Depth,2.3070000000000004,0.2593603242166731,10
2016-04-12,Lower Photic,1.2349999999999999,0.7550312723471936,10
2016-04-12,Deep,0.31958333333333333,0.061137595271285886,4
2016-05-17,Surface,0.8073123770792952,0.18242592630339502,10
2016-05-17,Mid-Depth,1.2429999999999999,0.07439384681843288,10
2016-05-17,Lower Photic,0.7765,0.33707936750860323,10
2016-05-17,Deep,0.21341666666666667,0.11006071556695926,4
2016-06-14,Surface,0.479,0.10969148655306948,10
2016-06-14,Mid-Depth,1.038,0.10570398920255249,10
2016-06-14,Lower Photic,0.9924999999999999,0.143008352514421,10
2016-06-14,Deep,0.3174166666666667,0.09680349511596503,4
2016-07-12,Surface,0.8905,0.11136651202224127,10
2016-07-12,Mid-Depth,1.249,0.053218626647276675,10
2016-07-12,Lower Photic,0.9629999999999999,0.3213184643862776,10
2016-07-12,Deep,0.29375,0.15081638947187848,4
2016-08-09,Surface,0.792,0.2338945631404601,10
2016-08-09,Mid-Depth,1.28,0.29097537123726924,10
2016-08-09,Lower Photic,1.5390000000000001,0.03142893217686181,10
2016-08-09,Deep,0.5334166666666667,0.35845319700686795,4
2016-09-06,Surface,0.497,0.0670074622710038,10
2016-09-06,Mid-Depth,0.8400000000000001,0.04944132324730443,10
2016-09-06,Lower Photic,0.844,0.0362705880232945,10
2016-09-06,Deep,0.32358333333333333,0.21407741330857138,4
2016-10-11,Surface,0.639,0.2753361581775993,10
2016-10-11,Mid-Depth,1.5379999999999998,0.28232369129541124,10
2016-10-11,Lower Photic,1.8335000000000001,0.020282723902101757,10
2016-10-11,Deep,0.5477539838509294,0.5939579178930349,4
2016-11-08,Surface,1.47,0.43499680714026195,10
2016-11-08,Mid-Depth,1.8040000000000003,0.17462340431148782,10
2016-11-08,Lower Photic,2.2148333333333334,0.2175032992512647,10
2016-11-08,Deep,1.02825,1.1591173326030204,4
2016-12-05,Surface,1.3119999999999998,0.262119565593007,10
2016-12-05,Mid-Depth,1.609,0.04794672969962484,10
2016-12-05,Lower Photic,1.0710000000000002,0.311214466958791,10
2016-12-05,Deep,0.6437499999999999,0.18640524849549348,4
2017-02-07,Surface,1.3415,0.17710715526043672,10
2017-02-07,Mid-Depth,1.5060000000000002,0.2691220293225114,10
